id,ref,cluster,gist
z4,Numbers 18:15,price,The firstborn of humans redeemed rather than offered.
z5,Numbers 18:16,price,The redemption price fixed at five shekels.
z6,Exodus 13:13,price,Every firstborn son redeemed.
z7,Exodus 21:32,price,Thirty shekels paid to the owner of a slave killed by an ox.
z8,Zechariah 11:12,price,Thirty shekels weighed out as the shepherd's wage.
z9,Matthew 26:15,price,Thirty pieces of silver agreed for handing Jesus over.
m2,Malachi 1:8,anchor,"Defective animals brought to the altar, when no governor would accept such a gift."
m3,Malachi 1:13,anchor,"Worship called wearisome, and what is damaged or stolen brought as the offering."
m4,Malachi 1:14,anchor,A curse on the man who vows a sound animal and then sacrifices a flawed one.
l2,Leviticus 27:32,anchor,"Every tenth animal from herd and flock, counted as it passes the staff."
l3,Leviticus 27:33,anchor,No sorting good from bad and no swapping; the tenth stands as it falls.
n3,Numbers 18:29,anchor,"From everything received, the portion set aside for God is to be the best of it."
n4,Numbers 18:30,anchor,"Once the best is lifted out, the remainder counts as ordinary produce for the Levites."
h9,Hebrews 7:3,hebrews,"No lineage, no recorded birth or death; he stands as priest continually, in the Son's likeness."
h10,Hebrews 7:7,hebrews,"Not in dispute: the superior blesses, and the inferior is the one blessed."
h11,Hebrews 7:10,hebrews,"Levi was unborn, still in his forefather, when that meeting took place."
h12,Hebrews 7:16,hebrews,Appointed not by a rule about descent but by a life death cannot end.
h13,Hebrews 7:17,hebrews,"Sworn of him: a priest for ever, after Melchizedek's order."
h14,Hebrews 7:18,hebrews,An earlier command set aside as weak and unable to accomplish anything.
